year,name,position,cap_hit
2021,veinivehvilainen,G,925000
2021,mathiasbrome,"LW, RW",925000
2021,kirillkaprizov,"LW, RW",925000
2021,timberni,LD,925000
2021,yegorkorshkov,RW,925000
2021,grigoridenisenko,"LW, RW",925000
2021,ottoleskinen,LD/RD,925000
2021,kaidenguhle,LD,925000
2021,matejchalupa,"RW, LW",925000
2021,stefannoesen,"RW, LW",925000
2021,matejchalupa,"RW, LW",925000
2021,stefannoesen,"RW, LW",925000
2021,patrickharper,C,925000
2021,aleksiheponiemi,C,925000
2021,ryanshea,LD,925000
2021,spencerknight,G,925000
2021,tylermadden,C,925000
2021,adamhuska,G,925000
2021,joesnively,LW,925000
2021,vitalikravtsov,RW,925000
2021,isaclundestrom,"LW, C",925000
2021,alexanderyelesin,RD,925000
2021,sethjarvis,RW,925000
2021,davidfarrance,LD,925000
2021,arthurkaliyev,"RW, LW",925000
2021,coopermarody,"C, RW",925000
2021,adambeckman,LW,925000
2021,ryanpoehling,"C, LW",925000
2021,kirbydach,"C, RW",925000
2021,samporanta,LW,925000
2021,alexturcotte,C,925000
2021,carljohanlerby,LD,925000
2021,dawsonmercer,"C, RW",925000
2021,joelkiviranta,"LW, RW",925000
2021,jackquinn,RW,925000
2021,conortimmins,RD,925000
2021,brinsonpasichnuk,LD,925000
2021,danilyurtaykin,LW,925000
2021,alexanderbarabanov,"RW, LW",925000
2021,igorshesterkin,G,925000
2021,wyattkalynuk,LD,925000
2021,paveldorofeyev,C,925000
2021,mitchellchaffee,RW,925000
2021,blakelizotte,C,925000
2021,jackdugan,LW,925000
2021,trentfrederic,"C, LW",925000
2021,quintonbyfield,C,925000
2021,wadeallison,RW,925000
2021,rileytufte,LW,925000
2021,dennisgilbert,LD,925000
2021,johanneskinnvall,RD,925000
2021,kandremiller,LD,925000
2021,colehults,LD,925000
2021,artturuotsalainen,"C, LW",925000
2021,joshuadunne,C,925000
2021,jonmerrill,LD,925000
2021,joshdickinson,C,925000
2021,tyefelhaber,C,925000
2021,shanebowers,C,925000
2021,johnleonard,"LW, RW",925000
2021,hendrixlapierre,C,925000
2021,jeremydavies,LD,925000
2021,dylansamberg,LD,925000
2021,piussuter,"C, LW",925000
2021,rhettgardner,"C, LW",925000
2021,jamiedrysdale,RD,925000
2021,zacharyjones,LD,925000
2021,mattiassamuelsson,LD,925000
2021,brandonduhaime,RW,925000
2021,erikfoley,LW,925000
2021,reillywalsh,RD,925000
2021,theodorlennstrom,LD,925000
2021,joshuanorris,C,925000
2021,cameronlee,LD,925000
2021,marioferraro,LD,925000
2021,connormackey,LD,925000
2021,mikkolehtonen,LD,925000
2021,braydenburke,LW,925000
2021,yegorrykov,LD,925000
2021,andreisvechnikov,"LW, RW",925000
2021,kaapokakko,RW,925000
2021,patrickkhodorenko,C,925000
2021,josephcecconi,RD,925000
2021,daniiltarasov,G,925000
2021,jacksoncates,C,925000
2021,artemzub,RD,925000
2021,joshwilkins,C,925000
2021,calfoote,RD,925000
2021,ridlygreig,LW,925000
2021,jesperboqvist,"C, LW, RW",925000
2021,rasmusdahlin,LD,925000
2021,brycekindopp,RW,925000
2021,alexislafreniere,LW,925000
2021,tylerwall,G,925000
2021,andrewpeeke,RD,916667
2021,quinnhughes,LD,916667
2021,gaetanhaas,C,915000
2021,tycethompson,RW,912500
2021,mikehardman,"LW, RW",912500
2021,anatolygolyshev,"LW, RW",910392
2021,alexnewhook,C,908333
2021,mathiasemiliopettersen,C,903333
2021,yankuznetsov,LD,900833
2021,patrickmaroon,"LW, RW",900000
2021,jimmyvesey,"LW, RW",900000
2021,masonappleton,"RW, C",900000
2021,mackenziemaceachern,"LW, RW",900000
2021,christianwolanin,LD,900000
2021,jakeneighbours,LW,897500
2021,eetuluostarinen,C,897500
2021,alexandretexier,"LW, C",897500
2021,ozzywiesblatt,RW,897500
2021,victorsoderstrom,RD,894167
2021,thomasharley,LD,894167
2021,philipbroberg,LD,894167
2021,liamfoudy,"C, LW, RW",894167
2021,alexanderromanov,LD/RD,894167
2021,connormcmichael,C,894167
2021,jakobpelletier,C,894167
2021,serronnoel,RW,894167
2021,simonholmstrom,RW,894167
2021,peytonkrebs,"C, LW",894167
2021,urhovaakanainen,LD,894167
2021,gabrielvilardi,C,894167
2021,nolanfoote,LW,894167
2021,dylancozens,"C, LW",894167
2021,barretthayton,"C, LW",894167
2021,philiptomasino,"RW, C",894167
2021,oliverwahlstrom,"RW, C",894167
2021,villeheinola,LD,894167
2021,bowenbyram,LD,894167
2021,filipzadina,"RW, LW",894167
2021,josephveleno,C,894167
2021,lassithomson,RD,894167
2021,samuelpoulin,"LW, RW",894167
2021,braydentracey,LW,894167
2021,moritzseider,RD,894167
2021,rasmussandin,LD,894167
2021,adamboqvist,RD,894167
2021,kristianvesalainen,"LW, RW",894167
2021,noahdobson,RD,894167
2021,tobiasbjornfot,LD,894167
2021,ryansuzuki,C,894167
2021,miroheiskanen,LD/RD,894166
2021,dennischolowski,LD,894166
2021,robertthomas,"C, RW",894166
2021,kaileryamamoto,"RW, C",894166
2021,kiefferbellows,"C, LW",894166
2021,filipchytil,"C, LW",894166
2021,eelitolvanen,LW,894166
2021,juusovalimaki,LD,894166
2021,liasandersson,"C, LW",894166
2021,germanrubtsov,C,894166
2021,michaelrasmussen,"LW, C, RW",894166
2021,nilshoglander,"LW, RW",891667
2021,kolelind,RW,891666
2021,jacobbryson,LD,889166
2021,hughmcging,"LW, C",883750
2021,calemakar,RD,880833
2021,brandonhagel,LW,880833
2021,colecaufield,RW,880833
2021,camyork,LD,880833
2021,jesseylonen,RW,880833
2021,justusannunen,G,880833
2021,peterdiliberatore,LD,880833
2021,caydenprimeau,G,880833
